age,duration,campaign,pdays,previous,y
58,261,1,-1,0,0
44,151,1,-1,0,0
33,76,1,-1,0,0
47,92,1,-1,0,0
33,198,1,-1,0,0
35,139,1,-1,0,0
28,217,1,-1,0,0
42,380,1,-1,0,0
58,50,1,-1,0,0
43,55,1,-1,0,0
41,222,1,-1,0,0
29,137,1,-1,0,0
53,517,1,-1,0,0
58,71,1,-1,0,0
57,174,1,-1,0,0
51,353,1,-1,0,0
45,98,1,-1,0,0
57,38,1,-1,0,0
60,219,1,-1,0,0
33,54,1,-1,0,0
28,262,1,-1,0,0
56,164,1,-1,0,0
32,160,1,-1,0,0
25,342,1,-1,0,0
40,181,1,-1,0,0
44,172,1,-1,0,0
39,296,1,-1,0,0
52,127,1,-1,0,0
46,255,2,-1,0,0
36,348,1,-1,0,0
57,225,1,-1,0,0
49,230,1,-1,0,0
60,208,1,-1,0,0
59,226,1,-1,0,0
51,336,1,-1,0,0
57,242,1,-1,0,0
25,365,1,-1,0,0
53,1666,1,-1,0,0
36,577,1,-1,0,0
37,137,1,-1,0,0
44,160,1,-1,0,0
50,180,2,-1,0,0
60,22,1,-1,0,0
54,1492,1,-1,0,0
58,616,1,-1,0,0
36,242,1,-1,0,0
58,355,1,-1,0,0
44,225,2,-1,0,0
55,160,1,-1,0,0
29,363,1,-1,0,0
54,266,1,-1,0,0
48,253,1,-1,0,0
32,179,1,-1,0,0
42,787,1,-1,0,0
24,145,1,-1,0,0
38,174,1,-1,0,0
38,104,1,-1,0,0
47,13,1,-1,0,0
40,185,1,-1,0,0
46,1778,1,-1,0,0
32,138,1,-1,0,0
53,812,1,-1,0,0
57,164,1,-1,0,0
33,391,1,-1,0,0
49,357,1,-1,0,0
51,91,1,-1,0,0
60,528,1,-1,0,0
59,273,1,-1,0,0
55,158,2,-1,0,0
35,177,1,-1,0,0
57,258,1,-1,0,0
31,172,1,-1,0,0
54,154,1,-1,0,0
55,291,1,-1,0,0
43,181,1,-1,0,0
53,176,1,-1,0,0
44,211,1,-1,0,0
55,349,1,-1,0,0
49,272,1,-1,0,0
55,208,1,-1,0,0
45,193,1,-1,0,0
47,212,1,-1,0,0
42,20,1,-1,0,0
59,1042,1,-1,0,1
46,246,1,-1,0,0
51,529,2,-1,0,0
56,1467,1,-1,0,1
41,1389,1,-1,0,1
46,188,2,-1,0,0
57,180,2,-1,0,0
42,48,1,-1,0,0
30,213,2,-1,0,0
60,583,1,-1,0,0
60,221,1,-1,0,0
57,173,1,-1,0,0
36,426,1,-1,0,0
55,287,1,-1,0,0
60,101,1,-1,0,0
39,203,1,-1,0,0
46,197,1,-1,0,0
44,257,1,-1,0,0
53,124,1,-1,0,0
52,229,1,-1,0,0
59,55,3,-1,0,0
27,400,1,-1,0,0
44,197,1,-1,0,0
47,190,1,-1,0,0
34,21,1,-1,0,0
59,514,1,-1,0,0
45,849,2,-1,0,0
